submitNm,distur,paired,fireYr,year,tsf,tsfClass,permaExtent,cntryId,lastNm,biome,slope,estDepth,n
Baillargeon,burned,a1,2015,2018,3,0-3,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,70.97777777777777,90
Baillargeon,burned,a1,2015,2019,4,4-10,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,93.09722222222223,72
Baillargeon,burned,a2,2015,2018,3,0-3,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,52.111111111111114,90
Baillargeon,burned,a2,2015,2019,4,4-10,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,71.82716049382717,81
Baillargeon,burned,a3,1972,2018,46,>40,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,63.05555555555556,90
Baillargeon,burned,a3,2015,2018,3,0-3,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,73.08888888888889,90
Baillargeon,burned,a4,2015,2018,3,0-3,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,62.84444444444444,90
Baillargeon,burned,a4,2015,2019,4,4-10,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,80.16470588235295,85
Baillargeon,burned,a5,1972,2019,47,>40,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,68.44444444444444,45
Baillargeon,burned,a5,2015,2019,4,4-10,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,87.25925925925925,27
Baillargeon,burned,a6,1972,2019,47,>40,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,77.82222222222222,45
Baillargeon,burned,a6,2015,2019,4,4-10,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,99.07142857142857,42
Baillargeon,burned,a7,2015,2019,4,4-10,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,94.90697674418605,43
Baillargeon,unburned,a1,-9999,2018,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,61.422222222222224,90
Baillargeon,unburned,a1,-9999,2019,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,80.7,90
Baillargeon,unburned,a2,-9999,2018,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,47.922222222222224,90
Baillargeon,unburned,a2,-9999,2019,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,57.06666666666667,90
Baillargeon,unburned,a3,-9999,2018,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,60.43333333333333,90
Baillargeon,unburned,a4,-9999,2018,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,59.75555555555555,90
Baillargeon,unburned,a4,-9999,2019,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,64.73333333333333,90
Baillargeon,unburned,a5,-9999,2019,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,82.2,45
Baillargeon,unburned,a6,-9999,2019,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,82.42222222222222,45
Baillargeon,unburned,a7,-9999,2019,u,unburned,C,US,"Baillargeon, MacArthur, Natali, Sistla",tundra,NA,81.51351351351352,37
Breen,burned,b1,1971,2012,41,>40,D,US,Breen,tundra,NA,30.8,10
Breen,burned,b1,1982,2012,30,21-40,D,US,Breen,tundra,NA,64.4,5
Breen,burned,b1,2002,2012,10,4-10,D,US,Breen,tundra,NA,72.88888888888889,9
Breen,burned,b1,2011,2012,1,0-3,D,US,Breen,tundra,NA,60.3,10
Breen,unburned,b1,-9999,2012,u,unburned,D,US,Breen,tundra,NA,31.75,8
Buma,burned,c1,2005,2019,14,11-20,D,US,Buma / Olson,boreal,NA,132.16666666666666,12
Buma,burned,NA,2005,2019,14,11-20,D,US,Buma / Olson,boreal,NA,127.57692307692308,26
Buma,unburned,c1,2005,2019,u,unburned,D,US,Buma / Olson,boreal,NA,92.9,40
Delcourt,burned,r1,2018,2019,1,0-3,C,RU,Delcourt-Veraverbeke,boreal,NA,141.64,50
Delcourt,burned,r2,2018,2019,1,0-3,C,RU,Delcourt-Veraverbeke,boreal,NA,104.1,10
Delcourt,burned,r3,2018,2019,1,0-3,C,RU,Delcourt-Veraverbeke,boreal,NA,203.8,10
Delcourt,burned,r4,2018,2019,1,0-3,C,RU,Delcourt-Veraverbeke,boreal,NA,176.4,30
Delcourt,burned,r5,2018,2019,1,0-3,C,RU,Delcourt-Veraverbeke,boreal,NA,133.75,20
Delcourt,burned,r6,2018,2019,1,0-3,C,RU,Delcourt-Veraverbeke,boreal,NA,177.2,10
Delcourt,unburned,r1,2018,2019,u,unburned,C,RU,Delcourt-Veraverbeke,boreal,NA,90.8,10
Delcourt,unburned,r2,2018,2019,u,unburned,C,RU,Delcourt-Veraverbeke,boreal,NA,93.5,10
Delcourt,unburned,r4,2018,2019,u,unburned,C,RU,Delcourt-Veraverbeke,boreal,NA,116.9,10
Delcourt,unburned,r5,2018,2019,u,unburned,C,RU,Delcourt-Veraverbeke,boreal,NA,149.5,10
Delcourt,unburned,r6,2018,2019,u,unburned,C,RU,Delcourt-Veraverbeke,boreal,NA,114,10
