"submitNm","distur","siteId","plotId","fireYr","year","cntryId","lastNm","lat","lon","biome","fireId","paired","gtProde","hitRock","orgDepth","srfH2O","topoPos","slope","vegCvr","tsf","tsfClass","estDoy","estDepth","n"
"Baillargeon","burned","a","15B1-T1-1",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",78,1
"Baillargeon","burned","a","15B1-T1-10",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",58,1
"Baillargeon","burned","a","15B1-T1-11",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",83,1
"Baillargeon","burned","a","15B1-T1-12",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",83,1
"Baillargeon","burned","a","15B1-T1-12",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",156,1
"Baillargeon","burned","a","15B1-T1-13",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",95,1
"Baillargeon","burned","a","15B1-T1-13",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",80,1
"Baillargeon","burned","a","15B1-T1-14",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",78,1
"Baillargeon","burned","a","15B1-T1-14",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",87,1
"Baillargeon","burned","a","15B1-T1-15",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",77,1
"Baillargeon","burned","a","15B1-T1-15",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",82,1
"Baillargeon","burned","a","15B1-T1-16",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",53,1
"Baillargeon","burned","a","15B1-T1-16",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",74,1
"Baillargeon","burned","a","15B1-T1-17",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",63,1
"Baillargeon","burned","a","15B1-T1-17",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",84,1
"Baillargeon","burned","a","15B1-T1-18",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",66,1
"Baillargeon","burned","a","15B1-T1-18",2015,2019,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","4","4-10","276",141,1
"Baillargeon","burned","a","15B1-T1-19",2015,2018,"US","Baillargeon, MacArthur, Natali, Sistla",61.2704,-163.236,"tundra","Izaviknek River Fire","a1","n","n",25,"U","L",NA,"W","3","0-3","288",73,1
